day_of_water_year,observed_max_thirty_d_trailing_sum_uklni_taf,observed_min_thirty_d_trailing_sum_uklni_taf
273,186.6,-6.2
274,181.5,-7.3
275,176.3,-8.3
276,171.4,-8.5
277,167.1,-8.3
278,162,-7.9
279,157.1,-6.4
280,152.1,-4.8
281,147,-3.3
282,142.1,-1.6
283,137.9,0.3
284,133.4,1.8
285,128.4,3.7
286,123.3,5.2
287,119,4.4
288,114.6,3.2
289,110.2,2.1
290,106.1,0
291,102.3,-1.5
292,98.6,-3.3
293,95,-4.8
294,91.6,-6.1
295,88.1,-7.3
296,85,-8.2
297,81.7,-8.5
298,78.4,-9.4
299,75.8,-10.1
300,74.1,-10.8
301,72.8,-11.4
302,71.2,-11.6
303,70.4,-11.6
304,68.3,-11.4
305,65.9,-12
306,63.5,-12.2
307,60.8,-12.3
308,58.1,-12
309,55.6,-12
310,53.2,-11.7
311,50.8,-10.8
312,48.5,-10.7
313,46.7,-10.2
314,45,-9.6
315,43.6,-10.1
316,42.5,-10.4
317,41.1,-10.1
318,41.4,-9.7
319,42.6,-9.4
320,43.6,-8.4
321,44.8,-7
322,46.2,-5.4
323,47.3,-3.6
324,48.9,-2.3
325,49.9,-2.2
326,51.2,-2.5
327,52.2,-2.5
328,52.7,-2.7
329,53.1,-2.9
330,53.5,-2.6
331,54.2,-2.8
332,54.9,-2.7
333,55.6,-2.7
334,55.8,-2.6
335,56.2,-2.4
336,57,-2.4
337,57.4,-2.4
338,58.3,-2.2
339,59.3,-2.3
340,59.2,-2
341,58.9,-1.7
342,59.1,-1.3
343,59.3,-0.7
344,59.1,0
345,58.6,0.3
346,57.8,0.8
347,57.5,1.2
348,57.2,1.9
349,56.3,2.3
350,55.5,3
351,55,3.7
352,54.5,4.7
353,54.4,5.6
354,54.1,6.6
355,54.1,7.9
356,53.9,9.1
357,53.8,10.2
358,53.8,11.5
359,54.3,12.6
360,54.8,14.3
361,54.8,15.7
362,54.8,17.2
363,55,18.5
364,55.5,20.1
365,55.9,21.3
