date,month,day,year,day_of_water_year,leap_year_index,period,normalized_30_d_trailing_sum_UKLNI,weight_for_30_d_trailing_sum_UKLNI,normalized_30_trailing_sum_precipitation,weight_for_30_d_trailing_sum_precip,normalized_trailing_sum_31_1095_d_precip_in,weight_for_tot_31_1095_d_trailing_sum_precip,normalized_average_swe,weight_for_normalized_weighted_avg_swe,three_mta_normalized_PDO_lag_0,three_mta_normalized_PDO_CN34_lag_0,climate_index_used,climate_index_lag_0,weight_for_climate_index,wetness_index_v20,normalized_wetness_index_v20,trailing_2_week_mean_nwi_v20,ukl_net_inflow_smoothed
2024-11-21,11,21,2024,52,1,4,0.21361623852844824,0.5525057659999999,0.8990338972246471,0.522395638,0.17867807659910992,0.5849766649999997,0.474704062464742,0.6450301570000003,0,0.10372179948982,3 mta PDO_CN34,0.10372179948982,0.384961225,1.0383254021110326,0.4246258217625054,0.30890072283917386,3.4525781198186456
2024-11-22,11,22,2024,53,1,4,0.2502236723940262,0.5912602570000001,1,0.5261267599999999,0.17691721685405,0.5324712959999998,0.735990055716329,0.5925388200000001,0,0.10372179948982,3 mta PDO_CN34,0.10372179948982,0.392459485,1.2450866957471005,0.5381116451006621,0.32096158111910367,4.50862791537965
2024-11-23,11,23,2024,54,1,4,0.29400369926112174,0.6300147480000002,1,0.529857882,0.1778573421844824,0.47996592699999985,0.856150748098018,0.5400474830000004,0,0.10372179948982,3 mta PDO_CN34,0.10372179948982,0.399957745,1.3042964062265872,0.49510484039740565,0.3367148868470872,4.923121658064551
2024-11-24,11,24,2024,55,1,4,0.31428215519660846,0.668769239,1,0.533589004,0.1817610566882406,0.42746055799999993,0.756492414727372,0.4875561460000002,0,0.10372179948982,3 mta PDO_CN34,0.10372179948982,0.407456005,1.232561520730985,0.46180693669306644,0.35237823530736956,5.137617340908806
2024-11-25,11,25,2024,56,1,4,0.3262412441329229,0.7075237300000001,0.9652670797224964,0.537320126,0.1852165295568461,0.374955189,0.745752354845179,0.435064809,0,0.10372179948982,3 mta PDO_CN34,0.10372179948982,0.414954265,1.186419158568615,0.44193537891369783,0.3704549306277038,4.779777205181403
2024-11-26,11,26,2024,57,1,4,0.3340631790485518,0.7462782210000003,0.9639372882914178,0.541051248,0.19474155229676332,0.32244981999999967,0.704175290180969,0.38257347200000025,0,0.10372179948982,3 mta PDO_CN34,0.10372179948982,0.42245252499999997,1.1468542480235362,0.4302163820107224,0.38917587908816337,4.780366750650386
2024-11-27,11,27,2024,58,1,4,0.36181820896868344,0.785032712,0.917544505187186,0.54478237,0.19847785216849043,0.26994445099999975,0.71343514944291,0.33008213500000005,0,0.10372179948982,3 mta PDO_CN34,0.10372179948982,0.429950785,1.1175666612177233,0.43536767145449234,0.40511565788839027,4.786827924342017
2024-11-28,11,28,2024,59,1,4,0.38026936567885217,0.8237872030000002,0.8817982174950693,0.548513492,0.19817069364948983,0.21743908199999984,0.717575935013709,0.2775907980000003,0,0.10372179948982,3 mta PDO_CN34,0.10372179948982,0.437449045,1.084594788921765,0.4266333459998663,0.4175089183597271,4.652152156143768
2024-11-29,11,29,2024,60,1,4,0.3902889552377459,0.8625416940000004,0.8728649108868161,0.5522446139999999,0.20120230686899124,0.16493371299999993,0.674640791845157,0.2250994610000001,0,0.10372179948982,3 mta PDO_CN34,0.10372179948982,0.44494730499999996,1.0498724996888615,0.43431088807384616,0.41924358328640404,4.256796386035601
2024-11-30,11,30,2024,61,1,4,0.4034515601632974,0.9012961850000001,0.8252054325648382,0.5559757359999999,0.19893151382182592,0.11242834400000001,0.664329972552908,0.17260812400000036,0,0.10372179948982,3 mta PDO_CN34,0.10372179948982,0.452445565,1.0063863088496308,0.42471504889191297,0.419927949331475,3.933037382643122
