ukl_ft_navd88,ukl_ft_usbrkb,tot_cap_taf,act_cap_taf,inund_area_ac
4140.41,4138.40,428.766,161.462,"70,610"
4140.42,4138.41,429.472,162.168,"70,652"
4140.43,4138.42,430.179,162.875,"70,694"
4140.44,4138.43,430.886,163.582,"70,737"
4140.45,4138.44,431.594,164.290,"70,780"
4140.46,4138.45,432.302,164.998,"70,823"
4140.47,4138.46,433.010,165.706,"70,866"
4140.48,4138.47,433.719,166.415,"70,910"
4140.49,4138.48,434.428,167.125,"70,954"
4140.50,4138.49,435.138,167.834,"70,998"
4140.51,4138.50,435.848,168.545,"71,042"
4140.52,4138.51,436.559,169.255,"71,087"
4140.53,4138.52,437.270,169.966,"71,131"
4140.54,4138.53,437.982,170.678,"71,177"
4140.55,4138.54,438.693,171.390,"71,222"
4140.56,4138.55,439.406,172.102,"71,267"
4140.57,4138.56,440.119,172.815,"71,313"
4140.58,4138.57,440.832,173.528,"71,359"
4140.59,4138.58,441.546,174.242,"71,405"
4140.60,4138.59,442.260,174.957,"71,452"
4140.61,4138.60,442.975,175.671,"71,499"
4140.62,4138.61,443.690,176.387,"71,545"
4140.63,4138.62,444.406,177.102,"71,593"
4140.64,4138.63,445.122,177.818,"71,640"
4140.65,4138.64,445.839,178.535,"71,687"
4140.66,4138.65,446.556,179.252,"71,735"
4140.67,4138.66,447.273,179.970,"71,783"
4140.68,4138.67,447.992,180.688,"71,831"
4140.69,4138.68,448.710,181.406,"71,880"
4140.70,4138.69,449.429,182.125,"71,928"
4140.71,4138.70,450.149,182.845,"71,977"
4140.72,4138.71,450.869,183.565,"72,026"
4140.73,4138.72,451.589,184.285,"72,075"
4140.74,4138.73,452.310,185.006,"72,124"
4140.75,4138.74,453.032,185.728,"72,174"
4140.76,4138.75,453.754,186.450,"72,223"
4140.77,4138.76,454.476,187.172,"72,273"
4140.78,4138.77,455.199,187.895,"72,323"
4140.79,4138.78,455.923,188.619,"72,374"
4140.80,4138.79,456.647,189.343,"72,424"
4140.81,4138.80,457.371,190.067,"72,475"
4140.82,4138.81,458.096,190.792,"72,525"
4140.83,4138.82,458.822,191.518,"72,576"
4140.84,4138.83,459.548,192.244,"72,627"
4140.85,4138.84,460.274,192.970,"72,679"
4140.86,4138.85,461.001,193.697,"72,730"
4140.87,4138.86,461.729,194.425,"72,782"
4140.88,4138.87,462.457,195.153,"72,834"
4140.89,4138.88,463.185,195.882,"72,886"
4140.90,4138.89,463.915,196.611,"72,938"
4140.91,4138.90,464.644,197.340,"72,990"
4140.92,4138.91,465.374,198.071,"73,043"
4140.93,4138.92,466.105,198.801,"73,095"
4140.94,4138.93,466.836,199.533,"73,148"
4140.95,4138.94,467.568,200.264,"73,201"
4140.96,4138.95,468.300,200.997,"73,254"
4140.97,4138.96,469.033,201.729,"73,307"
4140.98,4138.97,469.766,202.463,"73,361"
4140.99,4138.98,470.500,203.197,"73,414"
4141.00,4138.99,471.235,203.931,"73,468"
4141.01,4139.00,471.969,204.666,"73,487"
4141.02,4139.01,472.704,205.401,"73,514"
4141.03,4139.02,473.440,206.136,"73,547"
4141.04,4139.03,474.175,206.872,"73,583"
4141.05,4139.04,474.911,207.608,"73,622"
4141.06,4139.05,475.648,208.344,"73,664"
4141.07,4139.06,476.385,209.081,"73,707"
4141.08,4139.07,477.122,209.818,"73,753"
4141.09,4139.08,477.860,210.556,"73,800"
4141.10,4139.09,478.598,211.294,"73,850"
4141.11,4139.10,479.337,212.033,"73,900"
4141.12,4139.11,480.076,212.772,"73,953"
4141.13,4139.12,480.816,213.512,"74,006"
4141.14,4139.13,481.556,214.252,"74,061"
4141.15,4139.14,482.297,214.993,"74,117"
4141.16,4139.15,483.039,215.735,"74,174"
4141.17,4139.16,483.781,216.477,"74,233"
4141.18,4139.17,484.523,217.219,"74,292"
4141.19,4139.18,485.266,217.963,"74,352"
4141.20,4139.19,486.010,218.706,"74,414"
4141.21,4139.20,486.755,219.451,"74,476"
4141.22,4139.21,487.500,220.196,"74,540"
4141.23,4139.22,488.245,220.942,"74,604"
4141.24,4139.23,488.992,221.688,"74,669"
4141.25,4139.24,489.739,222.435,"74,735"
4141.26,4139.25,490.487,223.183,"74,801"
4141.27,4139.26,491.235,223.931,"74,869"
4141.28,4139.27,491.984,224.680,"74,937"
4141.29,4139.28,492.734,225.430,"75,006"
4141.30,4139.29,493.484,226.180,"75,076"
4141.31,4139.30,494.235,226.931,"75,147"
4141.32,4139.31,494.987,227.683,"75,218"
4141.33,4139.32,495.740,228.436,"75,290"
4141.34,4139.33,496.493,229.189,"75,363"
4141.35,4139.34,497.247,229.943,"75,436"
4141.36,4139.35,498.001,230.698,"75,510"
4141.37,4139.36,498.757,231.453,"75,584"
4141.38,4139.37,499.513,232.209,"75,659"
4141.39,4139.38,500.270,232.966,"75,735"
4141.40,4139.39,501.028,233.724,"75,812"
4141.41,4139.40,501.786,234.483,"75,889"
4141.42,4139.41,502.546,235.242,"75,966"
4141.43,4139.42,503.306,236.002,"76,044"
