date,water_year,day_of_water_year,ukl_huc8_mean_swe,williamson_huc8_mean_swe,sprague_huc8_mean_swe,weighted_average_swe,normalized_average_swe,day_after_oct_15,oct_16_nov_30_linear_weight,day_after_may_15_desc,may_16_jun_30_linear_weight,weighted_normalized_avg_swe,,,,,,,,,,,,,,,,,,,,,
10/1/2024,2025,1,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,,,,,-,,0,0,0,0,0,-,-,-,-,-
10/2/2024,2025,2,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,,,,,-,,0,0,0,0,0,-,-,-,-,-
10/3/2024,2025,3,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,,,,,-,,0,0,0,0,0,-,-,-,-,-
10/4/2024,2025,4,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,,,,,-,,0,0,0,0,0,-,-,-,-,-
10/5/2024,2025,5,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,,,,,-,,0,0,0,0,0,-,-,-,-,-
10/6/2024,2025,6,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,,,,,-,,0,0,0,0,0,-,-,-,-,-
10/7/2024,2025,7,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,,,,,-,,0,0,0,0,0,-,-,-,-,-
10/8/2024,2025,8,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,,,,,-,,0,0,0,0,0,-,-,-,-,-
10/9/2024,2025,9,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,,,,,-,,0,0,0,0,0,-,-,-,-,-
10/10/2024,2025,10,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,,,,,-,,0,0,0,0,0,-,-,-,-,-
10/11/2024,2025,11,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,,,,,-,,0,0,0,0,0,-,-,-,-,-
10/12/2024,2025,12,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,,,,,-,,0,0,0,0,0,-,-,-,-,-
10/13/2024,2025,13,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,,,,,-,,0,0,0,0,0,-,-,-,-,-
10/14/2024,2025,14,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,,,,,-,,0,0,0,0,0,-,-,-,-,-
10/15/2024,2025,15,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,,,,,-,,0,0,0,0,0,-,-,-,-,-
10/16/2024,2025,16,0,0,0,0,0,1,0.0217,NA,NA,0,0,0,0,0,0,1,0.02173913,,,0,,0,0,0,0,0,0,3.91304E-05,-,-,0
10/17/2024,2025,17,0,0,0,0,0,2,0.0435,NA,NA,0,0,0,0,0,0,2,0.043478261,,,0,,0,0,0,0,0,0,-2.17391E-05,-,-,0
10/18/2024,2025,18,0,0,0,0,0,3,0.0652,NA,NA,0,0,0,0,0,0,3,0.065217391,,,0,,0,0,0,0,0,0,1.73913E-05,-,-,0
10/19/2024,2025,19,0,0,0,0,0,4,0.087,NA,NA,0,0,0,0,0,0,4,0.086956522,,,0,,0,0,0,0,0,0,-4.34783E-05,-,-,0
10/20/2024,2025,20,0,0.025,0.02,0.018910623,0.105645937,5,0.1087,NA,NA,0.011483713,0,0.025,0.02,0.018910623,0.105766728,5,0.108695652,,,0.011496384,,0,0,0,-1.36883E-11,0.000120791,0,-4.34783E-06,-,-,1.26701E-05
10/21/2024,2025,21,0,0,0,0,0,6,0.1304,NA,NA,0,0,0,0,0,0,6,0.130434783,,,0,,0,0,0,0,0,0,3.47826E-05,-,-,0
10/22/2024,2025,22,0,0,0,0,0,7,0.1522,NA,NA,0,0,0,0,0,0,7,0.152173913,,,0,,0,0,0,0,0,0,-2.6087E-05,-,-,0
10/23/2024,2025,23,0,0,0,0,0,8,0.1739,NA,NA,0,0,0,0,0,0,8,0.173913043,,,0,,0,0,0,0,0,0,1.30435E-05,-,-,0
10/24/2024,2025,24,0,0,0,0,0,9,0.1957,NA,NA,0,0,0,0,0,0,9,0.195652174,,,0,,0,0,0,0,0,0,-4.78261E-05,-,-,0
10/25/2024,2025,25,0.02,0,0.08,0.044907631,0.088054178,10,0.2174,NA,NA,0.019142978,0.02,0,0.08,0.044907631,0.088108227,10,0.217391304,,,0.019153962,,0,0,0,-3.08581E-11,5.40489E-05,0,-8.69565E-06,-,-,1.09841E-05
10/26/2024,2025,26,0.04,0,0.08,0.047671968,0.074720953,11,0.2391,NA,NA,0.01786578,0.04,0,0.08,0.047671968,0.074758262,11,0.239130435,,,0.017876976,,0,0,0,-3.87597E-11,3.73085E-05,0,3.04348E-05,-,-,1.11957E-05
10/27/2024,2025,27,0.04,0,0.02,0.016064498,0.02441413,12,0.2609,NA,NA,0.006369647,0.04,0,0.02,0.016064498,0.02442172,12,0.260869565,,,0.006370883,,0,0,0,-2.15422E-11,7.58972E-06,0,-3.04348E-05,-,-,1.23689E-06
10/28/2024,2025,28,0.02,0,0,0.002764337,0.004207515,13,0.2826,NA,NA,0.001189044,0.02,0,0,0.002764337,0.004206284,13,0.282608696,,,0.001188732,,0,0,0,-7.90151E-12,-1.23049E-06,0,8.69565E-06,-,-,-3.11161E-07
10/29/2024,2025,29,0,0,0.04,0.021071647,0.026143483,14,0.3043,NA,NA,0.007955462,0,0,0.04,0.021071647,0.026150483,14,0.304347826,,,0.007958843,,0,0,0,-1.14783E-11,7.0001E-06,0,4.78261E-05,-,-,3.38081E-06
10/30/2024,2025,30,0.1,0,0.06,0.045429156,0.057871536,15,0.3261,NA,NA,0.018871908,0.1,0,0.06,0.045429156,0.057872871,15,0.326086957,,,0.018871588,,0,0,0,-5.6725E-11,1.33466E-06,0,-1.30435E-05,-,-,-3.19631E-07
10/31/2024,2025,31,0.04,0,0.04,0.026600321,0.035849489,16,0.3478,NA,NA,0.012468452,0.04,0,0.04,0.026600321,0.035838125,16,0.347826087,,,0.012465435,,0,0,0,-2.72813E-11,-1.13643E-05,0,2.6087E-05,-,-,-3.0176E-06
11/1/2024,2025,32,0.42,0.125,0.16,0.184211663,0.235866406,17,0.3696,NA,NA,0.087176224,0.42,0.125,0.16,0.184211663,0.235951573,17,0.369565217,,,0.087199494,,-5.55112E-17,0,0,-2.51591E-10,8.5167E-05,0,-3.47826E-05,-,-,2.32707E-05
11/2/2024,2025,33,0.7,0.3,0.22,0.313143448,0.436132936,18,0.3913,NA,NA,0.170658818,0.7,0.3,0.22,0.313143448,0.436221491,18,0.391304348,,,0.170695366,,0,5.55112E-17,2.77556E-17,-4.35074E-10,8.85556E-05,0,4.34783E-06,-,-,3.65484E-05
11/3/2024,2025,34,1.42,1.225,0.62,0.933243627,1,19,0.413,NA,NA,0.413,1.42,1.225,0.62,0.933243626,1,19,0.413043478,,,0.413043478,,0,0,0,-1.12843E-09,0,0,4.34783E-05,-,-,4.34783E-05
11/4/2024,2025,35,2.16,1.325,0.56,1.037415826,1,20,0.4348,NA,NA,0.4348,2.16,1.325,0.56,1.037415825,1,20,0.434782609,,,0.434782609,,0,-2.22045E-16,0,-1.43537E-09,0,0,-1.73913E-05,-,-,-1.73913E-05
11/5/2024,2025,36,2.28,1.25,0.5,0.99726998,0.729531807,21,0.4565,NA,NA,0.33303127,2.28,1.25,0.5,0.997269979,0.729401742,21,0.456521739,,,0.332987752,,4.44089E-16,0,0,-1.44171E-09,-0.000130066,0,2.17391E-05,-,-,-4.35183E-05
11/6/2024,2025,37,2.24,1.225,0.5,0.983366507,0.56064225,22,0.4783,NA,NA,0.268155188,2.24,1.225,0.5,0.983366505,0.560581731,22,0.47826087,,,0.268104306,,-4.44089E-16,0,0,-1.41796E-09,-6.05195E-05,0,-3.91304E-05,-,-,-5.08823E-05
11/7/2024,2025,38,2.14,1.2,0.46,0.940098375,0.428486042,23,0.5,NA,NA,0.214243021,2.14,1.2,0.46,0.940098374,0.428465893,23,0.5,,,0.214232946,,0,0,-5.55112E-17,-1.35902E-09,-2.01488E-05,0,0,-,-,-1.00744E-05
11/8/2024,2025,39,2.14,1.15,0.46,0.923348777,0.365248725,24,0.5217,NA,NA,0.19055026,2.14,1.15,0.46,0.923348775,0.365302725,24,0.52173913,,,0.190592726,,0,0,-5.55112E-17,-1.34312E-09,5.4E-05,0,3.91304E-05,-,-,4.24662E-05
11/9/2024,2025,40,2.14,1.075,0.46,0.898224379,0.264806715,25,0.5435,NA,NA,0.14392245,2.14,1.075,0.46,0.898224377,0.264796593,25,0.543478261,,,0.143911192,,0,0,-5.55112E-17,-1.31928E-09,-1.0122E-05,0,-2.17391E-05,-,-,-1.12577E-05
11/10/2024,2025,41,2.12,0.975,0.42,0.840889197,0.247684594,26,0.5652,NA,NA,0.139991333,2.12,0.975,0.42,0.840889196,0.247692328,26,0.565217391,,,0.140000011,,0,0,5.55112E-17,-1.2681E-09,7.7337E-06,0,1.73913E-05,-,-,8.67878E-06
11/11/2024,2025,42,2.08,0.875,0.36,0.770253855,0.228155763,27,0.587,NA,NA,0.133927433,2.08,0.875,0.36,0.770253854,0.228156886,27,0.586956522,,,0.133918172,,0,1.11022E-16,0,-1.20328E-09,1.12353E-06,0,-4.34783E-05,-,-,-9.26035E-06
11/12/2024,2025,43,1.96,0.675,0.32,0.665597791,0.203983387,28,0.6087,NA,NA,0.124164688,1.96,0.675,0.32,0.66559779,0.204008306,28,0.608695652,,,0.124178969,,2.22045E-16,0,0,-1.0808E-09,2.49195E-05,0,-4.34783E-06,-,-,1.42815E-05
11/13/2024,2025,44,2.44,0.65,0.44,0.786782023,0.274810347,29,0.6304,NA,NA,0.173240443,2.44,0.65,0.44,0.786782021,0.274808993,29,0.630434783,,,0.173249148,,4.44089E-16,0,5.55112E-17,-1.29692E-09,-1.35378E-06,0,3.47826E-05,-,-,8.70515E-06
11/14/2024,2025,45,2.46,0.7,0.42,0.795760135,0.277558471,30,0.6522,NA,NA,0.181023634,2.46,0.7,0.42,0.795760134,0.277591592,30,0.652173913,,,0.181037995,,0,1.11022E-16,5.55112E-17,-1.31499E-09,3.31218E-05,0,-2.6087E-05,-,-,1.43605E-05
11/15/2024,2025,46,3.38,1.575,0.86,1.447825734,0.504996768,31,0.6739,NA,NA,0.340317322,3.38,1.575,0.86,1.447825732,0.505057031,31,0.673913043,,,0.340364521,,4.44089E-16,2.22045E-16,0,-2.08294E-09,6.02627E-05,0,1.30435E-05,-,-,4.71987E-05
11/16/2024,2025,47,3.52,1.85,0.98,1.622513827,0.56376436,32,0.6957,NA,NA,0.392210865,3.52,1.85,0.98,1.622513824,0.563804118,32,0.695652174,,,0.39221156,,4.44089E-16,-4.44089E-16,1.11022E-16,-2.26012E-09,3.97582E-05,0,-4.78261E-05,-,-,6.95215E-07
11/17/2024,2025,48,3.54,1.725,0.92,1.551796697,0.478654132,33,0.7174,NA,NA,0.343386474,3.54,1.725,0.92,1.551796694,0.478669144,33,0.717391304,,,0.343393081,,0,-2.22045E-16,1.11022E-16,-2.21106E-09,1.50115E-05,0,-8.69565E-06,-,-,6.60689E-06
11/18/2024,2025,49,3.76,1.875,1,1.674596494,0.423626738,34,0.7391,NA,NA,0.313102522,3.76,1.875,1,1.674596492,0.423625245,34,0.739130435,,,0.313114312,,-4.44089E-16,0,0,-2.36863E-09,-1.49243E-06,0,3.04348E-05,-,-,1.17899E-05
11/19/2024,2025,50,4.14,2,1.2,1.87435113,0.437115469,35,0.7609,NA,NA,0.33260116,4.14,2,1.2,1.874351128,0.437095373,35,0.760869565,,,0.332572566,,0,0,-2.22045E-16,-2.6159E-09,-2.0096E-05,0,-3.04348E-05,-,-,-2.85939E-05
11/20/2024,2025,51,4.86,2,1.18,1.963331442,0.453949466,36,0.7826,NA,NA,0.355260852,4.86,2,1.18,1.963331439,0.453969224,36,0.782608696,,,0.355280262,,-8.88178E-16,0,0,-2.89461E-09,1.97578E-05,0,8.69565E-06,-,-,1.941E-05
11/21/2024,2025,52,5.14,2.15,1.32,2.126031721,0.475941733,37,0.8043,NA,NA,0.382799936,5.14,2.15,1.32,2.126031718,0.47598065,37,0.804347826,,,0.382854001,,8.88178E-16,0,0,-3.0931E-09,3.89169E-05,0,4.78261E-05,-,-,5.40652E-05
11/22/2024,2025,53,6.32,3.675,2.4,3.368924836,0.739640149,38,0.8261,NA,NA,0.611016727,6.32,3.675,2.4,3.368924831,0.739623348,38,0.826086957,,,0.610993201,,-8.88178E-16,0,0,-4.3541E-09,-1.68003E-05,0,-1.30435E-05,-,-,-2.35259E-05
11/23/2024,2025,54,6.86,4.225,2.94,3.912274756,0.860412942,39,0.8478,NA,NA,0.729458092,6.86,4.225,2.94,3.912274751,0.860473389,39,0.847826087,,,0.729531786,,-8.88178E-16,8.88178E-16,0,-4.89728E-09,6.04474E-05,0,2.6087E-05,-,-,7.36944E-05
11/24/2024,2025,55,6.82,3.825,2.4,3.488282059,0.757095324,40,0.8696,NA,NA,0.658370093,6.82,3.825,2.4,3.488282054,0.757036461,40,0.869565217,,,0.658292575,,0,0,-4.44089E-16,-4.59934E-09,-5.88626E-05,0,-3.47826E-05,-,-,-7.75187E-05
11/25/2024,2025,56,7.02,3.975,2.5,3.618853343,0.747475757,41,0.8913,NA,NA,0.666225142,7.02,3.975,2.5,3.618853338,0.747423439,41,0.891304348,,,0.666181761,,8.88178E-16,0,0,-4.75474E-09,-5.23181E-05,0,4.34783E-06,-,-,-4.33815E-05
11/26/2024,2025,57,7.04,4,2.5,3.629992479,0.703637377,42,0.913,NA,NA,0.642420925,7.04,4,2.5,3.629992474,0.703700755,42,0.913043478,,,0.642509385,,8.88178E-16,0,0,-4.77059E-09,6.33778E-05,0,4.34783E-05,-,-,8.84596E-05
11/27/2024,2025,58,7.34,4.375,2.84,3.976188524,0.712926063,43,0.9348,NA,NA,0.666443284,7.34,4.375,2.84,3.976188519,0.712927374,43,0.934782609,,,0.66643211,,8.88178E-16,0,4.44089E-16,-5.10592E-09,1.31028E-06,0,-1.73913E-05,-,-,-1.11739E-05
11/28/2024,2025,59,7.56,4.3,2.94,4.034150952,0.719091748,44,0.9565,NA,NA,0.687811257,7.56,4.3,2.94,4.034150947,0.719103066,44,0.956521739,,,0.687837715,,0,8.88178E-16,4.44089E-16,-5.19768E-09,1.13182E-05,0,2.17391E-05,-,-,2.64585E-05
11/29/2024,2025,60,7.54,4.3,2.94,4.031386615,0.676055016,45,0.9783,NA,NA,0.661384622,7.55,4.3,2.94,4.032768778,0.676316443,45,0.97826087,,,0.661613911,,0.01,0,4.44089E-16,0.001382163,0.000261426,0,-3.91304E-05,-,-,0.000229289
11/30/2024,2025,61,7.56,4.25,2.96,4.027937177,0.665711911,46,1,NA,NA,0.665711911,7.56,4.25,2.96,4.027937171,0.665651074,46,1,,,0.665651074,,0,0,0,-5.18753E-09,-6.08369E-05,0,0,-,-,-6.08369E-05
12/1/2024,2025,62,7.58,4.25,3,4.051773161,0.64722059,NA,NA,NA,NA,0.64722059,7.58,4.25,3,4.051773155,0.64726059,,,,,0.64726059,,8.88178E-16,0,0,-5.20691E-09,3.99992E-05,-,-,-,-,3.99992E-05
12/2/2024,2025,63,7.56,4.35,2.98,4.071972197,0.667649259,NA,NA,NA,NA,0.667649259,7.56,4.35,2.98,4.071972192,0.667686886,,,,,0.667686886,,8.88178E-16,0,0,-5.22506E-09,3.76265E-05,-,-,-,-,3.76265E-05
12/3/2024,2025,64,7.56,4.4,3,4.099257619,0.674568445,NA,NA,NA,NA,0.674568445,7.56,4.4,3,4.099257614,0.674522098,,,,,0.674522098,,8.88178E-16,0,-4.44089E-16,-5.2467E-09,-4.63471E-05,-,-,-,-,-4.63471E-05
12/4/2024,2025,65,7.58,4.425,3,4.110396756,0.634712285,NA,NA,NA,NA,0.634712285,7.58,4.425,3,4.110396751,0.634673086,,,,,0.634673086,,8.88178E-16,0,0,-5.26255E-09,-3.91986E-05,-,-,-,-,-3.91986E-05
12/5/2024,2025,66,7.54,4.4,3,4.096493282,0.616941759,NA,NA,NA,NA,0.616941759,7.54,4.4,3,4.096493277,0.616977541,,,,,0.616977541,,8.88178E-16,0,0,-5.2388E-09,3.57818E-05,-,-,-,-,3.57818E-05
12/6/2024,2025,67,7.48,4.325,3,4.063075873,0.604624386,NA,NA,NA,NA,0.604624386,7.48,4.325,3,4.063075868,0.604607942,,,,,0.604607942,,-8.88178E-16,0,0,-5.19125E-09,-1.64435E-05,-,-,-,-,-1.64435E-05
12/7/2024,2025,68,7.4,4.3,2.96,4.022572079,0.571306928,NA,NA,NA,NA,0.571306928,7.4,4.3,2.96,4.022572073,0.571327488,,,,,0.571327488,,0,8.88178E-16,0,-5.14021E-09,2.05606E-05,-,-,-,-,2.05606E-05
12/8/2024,2025,69,7.36,4.325,2.96,4.025418204,0.569446627,NA,NA,NA,NA,0.569446627,7.36,4.325,2.96,4.025418199,0.569460344,,,,,0.569460344,,-8.88178E-16,0,0,-5.13236E-09,1.37173E-05,-,-,-,-,1.37173E-05
12/9/2024,2025,70,7.42,4.35,2.92,4.021014367,0.550446868,NA,NA,NA,NA,0.550446868,7.42,4.35,2.92,4.021014362,0.550439324,,,,,0.550439324,,-8.88178E-16,0,0,-5.15253E-09,-7.54397E-06,-,-,-,-,-7.54397E-06
12/10/2024,2025,71,7.32,4.475,2.98,4.080674149,0.545934873,NA,NA,NA,NA,0.545934873,7.32,4.475,2.98,4.080674144,0.545888501,,,,,0.545888501,,0,0,-4.44089E-16,-5.16999E-09,-4.63719E-05,-,-,-,-,-4.63719E-05
12/11/2024,2025,72,7.36,4.35,2.94,4.02325718,0.536036698,NA,NA,NA,NA,0.536036698,7.36,4.35,2.94,4.023257174,0.536037619,,,,,0.536037619,,8.88178E-16,0,0,-5.13457E-09,9.20647E-07,-,-,-,-,9.20647E-07
12/12/2024,2025,73,7.26,4.125,2.82,3.870847359,0.506843405,NA,NA,NA,NA,0.506843405,7.26,4.125,2.82,3.870847354,0.506796733,,,,,0.506796733,,0,0,0,-4.98908E-09,-4.66718E-05,-,-,-,-,-4.66718E-05
12/13/2024,2025,74,7.36,4.275,2.88,3.966525311,0.50965254,NA,NA,NA,NA,0.50965254,7.36,4.275,2.88,3.966525306,0.509674948,,,,,0.509674948,,8.88178E-16,0,0,-5.0935E-09,2.24084E-05,-,-,-,-,2.24084E-05
12/14/2024,2025,75,7.46,4.475,3.02,4.121096155,0.520573677,NA,NA,NA,NA,0.520573677,7.46,4.475,3.02,4.12109615,0.52060792,,,,,0.52060792,,-8.88178E-16,8.88178E-16,-4.44089E-16,-5.23678E-09,3.42431E-05,-,-,-,-,3.42431E-05
12/15/2024,2025,76,8.08,5.15,3.4,4.633090833,0.600395769,NA,NA,NA,NA,0.600395769,8.08,5.15,3.4,4.633090827,0.600393965,,,,,0.600393965,,0,0,0,-5.8054E-09,-1.8041E-06,-,-,-,-,-1.8041E-06
12/16/2024,2025,77,8.64,5.425,3.68,4.950116592,0.636046558,NA,NA,NA,NA,0.636046558,8.64,5.425,3.68,4.950116586,0.636042468,,,,,0.636042468,,0,0,4.44089E-16,-6.19443E-09,-4.08944E-06,-,-,-,-,-4.08944E-06
12/17/2024,2025,78,9.22,6.025,4.04,5.420922374,0.669890263,NA,NA,NA,NA,0.669890263,9.22,6.025,4.04,5.420922367,0.669916117,,,,,0.669916117,,-1.77636E-15,0,0,-6.71766E-09,2.58539E-05,-,-,-,-,2.58539E-05
12/18/2024,2025,79,9.56,6.775,4.24,5.824518319,0.708666711,NA,NA,NA,NA,0.708666711,9.56,6.775,4.24,5.824518312,0.708621146,,,,,0.708621146,,-1.77636E-15,0,0,-7.14785E-09,-4.55655E-05,-,-,-,-,-4.55655E-05
12/19/2024,2025,80,9.76,6.925,4.36,5.965625427,0.734183302,NA,NA,NA,NA,0.734183302,9.76,6.925,4.36,5.965625419,0.734233041,,,,,0.734233041,,0,0,0,-7.30899E-09,4.97393E-05,-,-,-,-,4.97393E-05
12/20/2024,2025,81,9.8,6.875,4.26,5.901725385,0.711647268,NA,NA,NA,NA,0.711647268,9.8,6.875,4.26,5.901725378,0.711625632,,,,,0.711625632,,0,-8.88178E-16,8.88178E-16,-7.2802E-09,-2.16357E-05,-,-,-,-,-2.16357E-05
12/21/2024,2025,82,9.78,6.8,4.24,5.863300826,0.680477369,NA,NA,NA,NA,0.680477369,9.78,6.8,4.24,5.863300819,0.680466386,,,,,0.680466386,,0,0,0,-7.24271E-09,-1.09826E-05,-,-,-,-,-1.09826E-05
12/22/2024,2025,83,9.8,6.775,4.16,5.81554707,0.659506724,NA,NA,NA,NA,0.659506724,9.8,6.775,4.16,5.815547063,0.659542263,,,,,0.659542263,,0,-8.88178E-16,0,-7.21971E-09,3.55392E-05,-,-,-,-,3.55392E-05
12/23/2024,2025,84,9.9,6.875,4.3,5.936618717,0.677342416,NA,NA,NA,NA,0.677342416,9.9,6.875,4.3,5.93661871,0.677311266,,,,,0.677311266,,0,0,-8.88178E-16,-7.33119E-09,-3.11499E-05,-,-,-,-,-3.11499E-05
12/24/2024,2025,85,10.08,6.875,4.2,5.908818633,0.664235678,NA,NA,NA,NA,0.664235678,10.08,6.875,4.2,5.908818626,0.664195071,,,,,0.664195071,,0,0,0,-7.3736E-09,-4.06066E-05,-,-,-,-,-4.06066E-05
12/25/2024,2025,86,10.12,6.775,4.08,5.817633169,0.661696351,NA,NA,NA,NA,0.661696351,10.12,6.775,4.08,5.817633162,0.661703258,,,,,0.661703258,,1.77636E-15,0,0,-7.32318E-09,6.90714E-06,-,-,-,-,6.90714E-06
12/26/2024,2025,87,10.54,6.75,4.2,5.93052439,0.668637099,NA,NA,NA,NA,0.668637099,10.54,6.75,4.2,5.930524382,0.668603316,,,,,0.668603316,,1.77636E-15,0,0,-7.51559E-09,-3.37834E-05,-,-,-,-,-3.37834E-05
12/27/2024,2025,88,10.98,7.3,4.4,6.280943625,0.71061337,NA,NA,NA,NA,0.71061337,10.98,7.3,4.4,6.280943617,0.710582046,,,,,0.710582046,,0,8.88178E-16,0,-7.9217E-09,-3.13237E-05,-,-,-,-,-3.13237E-05
12/28/2024,2025,89,12.58,8.625,5.22,7.377923719,0.859655543,NA,NA,NA,NA,0.859655543,12.58,8.625,5.22,7.37792371,0.859648362,,,,,0.859648362,,1.77636E-15,0,8.88178E-16,-9.21043E-09,-7.18098E-06,-,-,-,-,-7.18098E-06
12/29/2024,2025,90,13.52,9.65,5.76,8.135681568,0.933887022,NA,NA,NA,NA,0.933887022,13.52,9.65,5.76,8.135681558,0.933893598,,,,,0.933893598,,0,0,0,-1.00627E-08,6.57598E-06,-,-,-,-,6.57598E-06
12/30/2024,2025,91,13.3,10.1,5.82,8.287627718,0.951610606,NA,NA,NA,NA,0.951610606,13.3,10.1,5.82,8.287627708,0.95162963,,,,,0.95162963,,0,0,0,-1.01361E-08,1.90239E-05,-,-,-,-,1.90239E-05
12/31/2024,2025,92,14.1,10.05,5.78,8.360379956,0.933253687,NA,NA,NA,NA,0.933253687,14.1,10.05,5.78,8.360379945,0.933294442,,,,,0.933294442,,0,-1.77636E-15,0,-1.04247E-08,4.07543E-05,-,-,-,-,4.07543E-05
1/1/2025,2025,93,14.06,10,5.86,8.380244977,0.897517021,NA,NA,NA,NA,0.897517021,14.06,10,5.86,8.380244966,0.897471902,,,,,0.897471902,,1.77636E-15,1.77636E-15,-8.88178E-16,-1.0416E-08,-4.51189E-05,-,-,-,-,-4.51189E-05
1/2/2025,2025,94,14.42,10.15,5.88,8.490787664,0.911501137,NA,NA,NA,NA,0.911501137,14.42,10.15,5.88,8.490787653,0.911515473,,,,,0.911515473,,1.77636E-15,-1.77636E-15,8.88178E-16,-1.06117E-08,1.43361E-05,-,-,-,-,1.43361E-05
1/3/2025,2025,95,15.58,10.575,6.2,8.962063979,0.937387713,NA,NA,NA,NA,0.937387713,15.58,10.575,6.2,8.962063967,0.937384063,,,,,0.937384063,,-1.77636E-15,1.77636E-15,-1.77636E-15,-1.12969E-08,-3.6504E-06,-,-,-,-,-3.6504E-06
1/4/2025,2025,96,15.58,10.65,6.08,8.923973436,0.928722009,NA,NA,NA,NA,0.928722009,15.58,10.65,6.08,8.923973424,0.928772627,,,,,0.928772627,,1.77636E-15,-1.77636E-15,0,-1.12863E-08,5.0618E-05,-,-,-,-,5.0618E-05
1/5/2025,2025,97,15.68,10.4,5.84,8.727617246,0.878388745,NA,NA,NA,NA,0.878388745,15.68,10.4,5.84,8.727617235,0.878441894,,,,,0.878441894,,1.77636E-15,0,0,-1.11775E-08,5.31492E-05,-,-,-,-,5.31492E-05
1/6/2025,2025,98,16.56,10.775,6.04,9.080228302,0.879207118,NA,NA,NA,NA,0.879207118,16.56,10.775,6.04,9.080228291,0.879170365,,,,,0.879170365,,0,0,0,-1.17018E-08,-3.67536E-05,-,-,-,-,-3.67536E-05
