date,name,ppt,tmean,tmax
2020-10-13,SPR245,0,NA,NA
2020-10-14,UKL8,0.24606299212598423,NA,NA
2020-10-14,UKL19,0.21755905601921985,NA,NA
2020-10-14,UKL30,0.01460629889345544,NA,NA
2020-10-14,UKL41,0.24263779948076863,NA,NA
2020-10-14,UKL52,0.01051181062000004,NA,NA
2020-10-14,UKL63,0.10547243704007368,NA,NA
2020-10-14,UKL76,0.0647637787766344,NA,NA
2020-10-14,UKL85,0.1981496059988427,NA,NA
2020-10-14,UKL96,0.0475984248589343,NA,NA
2020-10-14,UKL107,0,NA,NA
2020-10-14,WIL18,3.937008061013588e-5,NA,NA
2020-10-14,WIL40,0.05842519557382179,NA,NA
2020-10-14,WIL62,0.01015747977992681,NA,NA
2020-10-14,WIL84,0.05862204577979141,NA,NA
2020-10-14,WIL106,0.0015748031144067,NA,NA
2020-10-14,WIL128,3.937008061013588e-5,NA,NA
2020-10-14,WIL150,0,NA,NA
2020-10-14,WIL172,0.00720472434374291,NA,NA
2020-10-14,WIL194,0,NA,NA
2020-10-14,WIL216,0.00460629916097235,NA,NA
2020-10-14,SPR16,0,NA,NA
2020-10-14,SPR42,0,NA,NA
2020-10-14,SPR66,0,NA,NA
2020-10-14,SPR91,0,NA,NA
2020-10-14,SPR113,0.00425196861422906,NA,NA
2020-10-14,SPR145,0,NA,NA
2020-10-14,SPR160,0.00472440934322011,NA,NA
2020-10-14,SPR185,0,NA,NA
2020-10-14,SPR216,0,NA,NA
2020-10-14,SPR245,0,NA,NA
2020-10-15,UKL8,0,NA,NA
2020-10-15,UKL19,0,NA,NA
2020-10-15,UKL30,0,NA,NA
2020-10-15,UKL41,0,NA,NA
2020-10-15,UKL52,0,NA,NA
2020-10-15,UKL63,0,NA,NA
2020-10-15,UKL76,0,NA,NA
2020-10-15,UKL85,0,NA,NA
2020-10-15,UKL96,0,NA,NA
2020-10-15,UKL107,0,NA,NA
2020-10-15,WIL18,0,NA,NA
2020-10-15,WIL40,0,NA,NA
2020-10-15,WIL62,0,NA,NA
